Category: All categories

Region,Python: (8/13/19 - 8/13/20)
Massachusetts,100
California,95
District of Columbia,93
Virginia,82
Washington,79
Oregon,69
New York,65
Colorado,62
Maryland,62
New Jersey,57
Utah,56
Connecticut,51
Illinois,51
New Hampshire,49
Rhode Island,47
Vermont,45
Pennsylvania,42
Minnesota,42
Texas,41
North Carolina,39
New Mexico,39
Delaware,38
Iowa,38
Michigan,38
Idaho,36
Arizona,35
Georgia,33
Indiana,32
Missouri,31
Montana,31
Hawaii,28
Ohio,28
Wisconsin,27
Kansas,27
Alabama,25
Maine,25
Arkansas,24
Florida,24
Tennessee,23
Nebraska,23
South Dakota,22
Alaska,21
Nevada,21
Oklahoma,20
North Dakota,19
Wyoming,19
South Carolina,19
Kentucky,18
West Virginia,15
Louisiana,15
Mississippi,15
