Category: All categories

Region,Web development: (8/14/19 - 8/14/20)
District of Columbia,100
New York,85
Connecticut,59
Kansas,57
Georgia,56
New Jersey,56
California,56
Virginia,55
Mississippi,54
Utah,54
North Carolina,53
Maryland,53
Florida,51
South Carolina,50
Kentucky,50
Arizona,50
Illinois,49
Oregon,48
Colorado,48
Massachusetts,47
Washington,47
Nevada,46
Louisiana,46
Texas,46
Rhode Island,46
Pennsylvania,45
Tennessee,44
Alabama,44
Minnesota,43
Ohio,42
Michigan,41
Iowa,41
Arkansas,41
Delaware,40
Indiana,39
New Mexico,38
Wisconsin,38
Missouri,37
Idaho,37
Vermont,36
New Hampshire,35
North Dakota,34
Oklahoma,32
Maine,31
Nebraska,30
Alaska,30
West Virginia,28
Montana,27
Wyoming,25
South Dakota,25
Hawaii,24
