Category: All categories

Region,Skype: (8/16/19 - 8/16/20)
District of Columbia,100
Vermont,69
Maryland,60
Massachusetts,59
New York,58
Connecticut,58
Oregon,57
New Jersey,56
Washington,56
Virginia,56
Minnesota,54
New Hampshire,54
Delaware,52
Rhode Island,51
Colorado,51
Maine,51
California,51
Montana,50
Hawaii,49
Wisconsin,49
Illinois,49
Alaska,49
Pennsylvania,48
Michigan,47
North Dakota,46
Arizona,46
Florida,46
Ohio,45
Iowa,44
Utah,44
North Carolina,44
Kansas,43
New Mexico,43
Texas,43
Missouri,42
Nevada,41
Idaho,41
Georgia,40
South Dakota,40
Indiana,40
South Carolina,38
West Virginia,38
Nebraska,37
Wyoming,37
Kentucky,35
Oklahoma,35
Tennessee,35
Louisiana,32
Arkansas,32
Alabama,31
Mississippi,25
