Category: All categories

Region,Data science: (8/13/19 - 8/13/20)
District of Columbia,100
Massachusetts,61
New York,53
California,49
Virginia,45
New Jersey,44
Washington,42
Maryland,42
Illinois,38
Rhode Island,36
Connecticut,34
Delaware,32
Colorado,32
Texas,30
Pennsylvania,28
North Carolina,28
Minnesota,27
Georgia,25
Michigan,25
Oregon,24
Utah,24
New Hampshire,23
Indiana,22
Missouri,21
Vermont,21
Arizona,21
Wisconsin,19
Tennessee,19
Ohio,19
Iowa,19
Nebraska,18
South Dakota,18
Kansas,18
Arkansas,18
Florida,17
Idaho,16
South Carolina,15
Hawaii,15
New Mexico,14
Maine,14
Oklahoma,14
Nevada,14
Kentucky,13
Alabama,13
Wyoming,13
Mississippi,12
Montana,12
Louisiana,12
North Dakota,10
Alaska,9
West Virginia,8
