Category: All categories

Region,Telegram: (8/16/19 - 8/16/20)
Massachusetts,100
Wisconsin,83
Nebraska,59
West Virginia,53
Wyoming,45
Ohio,44
Kansas,32
Texas,31
New York,21
District of Columbia,21
North Carolina,21
New Jersey,20
Maine,19
California,19
Minnesota,17
Rhode Island,15
Florida,15
Michigan,14
Nevada,14
Virginia,14
Connecticut,13
New Hampshire,13
Georgia,13
Maryland,12
Washington,12
South Carolina,11
Colorado,11
Vermont,11
Illinois,10
Arizona,10
South Dakota,10
Oregon,10
New Mexico,10
Arkansas,9
Hawaii,9
Pennsylvania,9
Delaware,9
Utah,9
Alabama,9
North Dakota,9
Tennessee,9
Oklahoma,9
Iowa,9
Alaska,8
Missouri,8
Montana,8
Idaho,8
Indiana,7
Louisiana,7
Mississippi,7
Kentucky,7
