location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31424
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,93
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,116650
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,324
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,214217
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4300
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,259233
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,6005
Austria,2021-02-05,Oxford/AstraZeneca,0
Austria,2021-02-05,Pfizer/BioNTech,355456
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,10116
Austria,2021-02-12,Oxford/AstraZeneca,10786
Austria,2021-02-12,Pfizer/BioNTech,457484
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14265
Austria,2021-02-19,Oxford/AstraZeneca,43591
Austria,2021-02-19,Pfizer/BioNTech,523502
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22717
Austria,2021-02-26,Oxford/AstraZeneca,101451
Austria,2021-02-26,Pfizer/BioNTech,584973
Austria,2021-03-05,Johnson&Johnson,3
Austria,2021-03-05,Moderna,32070
Austria,2021-03-05,Oxford/AstraZeneca,156489
Austria,2021-03-05,Pfizer/BioNTech,689849
Austria,2021-03-12,Johnson&Johnson,4
Austria,2021-03-12,Moderna,47480
Austria,2021-03-12,Oxford/AstraZeneca,235427
Austria,2021-03-12,Pfizer/BioNTech,853286
Austria,2021-03-19,Johnson&Johnson,30
Austria,2021-03-19,Moderna,79312
Austria,2021-03-19,Oxford/AstraZeneca,308850
Austria,2021-03-19,Pfizer/BioNTech,986443
Austria,2021-03-26,Johnson&Johnson,52
Austria,2021-03-26,Moderna,104778
Austria,2021-03-26,Oxford/AstraZeneca,384402
Austria,2021-03-26,Pfizer/BioNTech,1133805
Austria,2021-04-02,Johnson&Johnson,88
Austria,2021-04-02,Moderna,141288
Austria,2021-04-02,Oxford/AstraZeneca,423064
Austria,2021-04-02,Pfizer/BioNTech,1282748
Austria,2021-04-09,Johnson&Johnson,161
Austria,2021-04-09,Moderna,180977
Austria,2021-04-09,Oxford/AstraZeneca,513566
Austria,2021-04-09,Pfizer/BioNTech,1505534
Austria,2021-04-16,Johnson&Johnson,178
Austria,2021-04-16,Moderna,223692
Austria,2021-04-16,Oxford/AstraZeneca,609660
Austria,2021-04-16,Pfizer/BioNTech,1741015
Austria,2021-04-23,Johnson&Johnson,187
Austria,2021-04-23,Moderna,261223
Austria,2021-04-23,Oxford/AstraZeneca,658735
Austria,2021-04-23,Pfizer/BioNTech,2006218
Austria,2021-04-30,Johnson&Johnson,472
Austria,2021-04-30,Moderna,300405
Austria,2021-04-30,Oxford/AstraZeneca,701243
Austria,2021-04-30,Pfizer/BioNTech,2281380
Austria,2021-05-07,Johnson&Johnson,6641
Austria,2021-05-07,Moderna,349971
Austria,2021-05-07,Oxford/AstraZeneca,764350
Austria,2021-05-07,Pfizer/BioNTech,2614064
Austria,2021-05-14,Johnson&Johnson,13747
Austria,2021-05-14,Moderna,400250
Austria,2021-05-14,Oxford/AstraZeneca,828745
Austria,2021-05-14,Pfizer/BioNTech,2915785
Austria,2021-05-21,Johnson&Johnson,26126
Austria,2021-05-21,Moderna,468558
Austria,2021-05-21,Oxford/AstraZeneca,906529
Austria,2021-05-21,Pfizer/BioNTech,3296341
Austria,2021-05-28,Johnson&Johnson,38474
Austria,2021-05-28,Moderna,522448
Austria,2021-05-28,Oxford/AstraZeneca,989247
Austria,2021-05-28,Pfizer/BioNTech,3634355
Austria,2021-06-04,Johnson&Johnson,59210
Austria,2021-06-04,Moderna,578203
Austria,2021-06-04,Oxford/AstraZeneca,1057653
Austria,2021-06-04,Pfizer/BioNTech,4062806
Austria,2021-06-11,Johnson&Johnson,81105
Austria,2021-06-11,Moderna,641550
Austria,2021-06-11,Oxford/AstraZeneca,1152688
Austria,2021-06-11,Pfizer/BioNTech,4504466
Austria,2021-06-18,Johnson&Johnson,96260
Austria,2021-06-18,Moderna,691560
Austria,2021-06-18,Oxford/AstraZeneca,1204464
Austria,2021-06-18,Pfizer/BioNTech,4962753
Austria,2021-06-25,Johnson&Johnson,104983
Austria,2021-06-25,Moderna,747618
Austria,2021-06-25,Oxford/AstraZeneca,1277838
Austria,2021-06-25,Pfizer/BioNTech,5411401
Austria,2021-07-02,Johnson&Johnson,130660
Austria,2021-07-02,Moderna,808004
Austria,2021-07-02,Oxford/AstraZeneca,1384887
Austria,2021-07-02,Pfizer/BioNTech,5806117
Austria,2021-07-09,Johnson&Johnson,155025
Austria,2021-07-09,Moderna,858839
Austria,2021-07-09,Oxford/AstraZeneca,1449092
Austria,2021-07-09,Pfizer/BioNTech,6138792
Austria,2021-07-16,Johnson&Johnson,174499
Austria,2021-07-16,Moderna,903858
Austria,2021-07-16,Oxford/AstraZeneca,1497433
Austria,2021-07-16,Pfizer/BioNTech,6416000
Austria,2021-07-23,Johnson&Johnson,191207
Austria,2021-07-23,Moderna,950512
Austria,2021-07-23,Oxford/AstraZeneca,1524279
Austria,2021-07-23,Pfizer/BioNTech,6668757
Austria,2021-07-30,Johnson&Johnson,203378
Austria,2021-07-30,Moderna,969543
Austria,2021-07-30,Oxford/AstraZeneca,1549020
Austria,2021-07-30,Pfizer/BioNTech,6882319
Austria,2021-08-06,Johnson&Johnson,218698
Austria,2021-08-06,Moderna,987453
Austria,2021-08-06,Oxford/AstraZeneca,1563266
Austria,2021-08-06,Pfizer/BioNTech,7061839
Austria,2021-08-13,Johnson&Johnson,229092
Austria,2021-08-13,Moderna,997027
