Entity,Code,Year,lead_paint_regulation
Algeria,DZA,2021,Yes
Argentina,ARG,2021,Yes
Armenia,ARM,2021,Yes
Australia,AUS,2021,Yes
Austria,AUT,2021,Yes
Bangladesh,BGD,2021,Yes
Belarus,BLR,2021,Yes
Belgium,BEL,2021,Yes
Brazil,BRA,2021,Yes
Bulgaria,BGR,2021,Yes
Cameroon,CMR,2021,Yes
Canada,CAN,2021,Yes
Chile,CHL,2021,Yes
China,CHN,2021,Yes
Colombia,COL,2021,Yes
Costa Rica,CRI,2021,Yes
Croatia,HRV,2021,Yes
Cuba,CUB,2021,Yes
Cyprus,CYP,2021,Yes
Czechia,CZE,2021,Yes
Denmark,DNK,2021,Yes
Dominica,DMA,2021,Yes
Ecuador,ECU,2021,Yes
Estonia,EST,2021,Yes
Ethiopia,ETH,2021,Yes
Finland,FIN,2021,Yes
France,FRA,2021,Yes
Georgia,GEO,2021,Yes
Germany,DEU,2021,Yes
Greece,GRC,2021,Yes
Guyana,GUY,2021,Yes
Hungary,HUN,2021,Yes
Iceland,ISL,2021,Yes
India,IND,2021,Yes
Iraq,IRQ,2021,Yes
Ireland,IRL,2021,Yes
Israel,ISR,2021,Yes
Italy,ITA,2021,Yes
Jordan,JOR,2021,Yes
Kazakhstan,KAZ,2021,Yes
Kenya,KEN,2021,Yes
Kyrgyzstan,KGZ,2021,Yes
Latvia,LVA,2021,Yes
Lebanon,LBN,2021,Yes
Liechtenstein,LIE,2021,Yes
Lithuania,LTU,2021,Yes
Luxembourg,LUX,2021,Yes
Malta,MLT,2021,Yes
Mexico,MEX,2021,Yes
Monaco,MCO,2021,Yes
Montenegro,MNE,2021,Yes
Morocco,MAR,2021,Yes
Nepal,NPL,2021,Yes
Netherlands,NLD,2021,Yes
New Zealand,NZL,2021,Yes
North Macedonia,MKD,2021,Yes
Norway,NOR,2021,Yes
Oman,OMN,2021,Yes
Pakistan,PAK,2021,Yes
Panama,PAN,2021,Yes
Peru,PER,2021,Yes
Philippines,PHL,2021,Yes
Poland,POL,2021,Yes
Portugal,PRT,2021,Yes
Qatar,QAT,2021,Yes
Romania,ROU,2021,Yes
Russia,RUS,2021,Yes
Serbia,SRB,2021,Yes
Slovakia,SVK,2021,Yes
Slovenia,SVN,2021,Yes
South Africa,ZAF,2021,Yes
Spain,ESP,2021,Yes
Sri Lanka,LKA,2021,Yes
Sweden,SWE,2021,Yes
Switzerland,CHE,2021,Yes
Tanzania,TZA,2021,Yes
Thailand,THA,2021,Yes
Trinidad and Tobago,TTO,2021,Yes
Ukraine,UKR,2021,Yes
United Kingdom,GBR,2021,Yes
United States,USA,2021,Yes
Uruguay,URY,2021,Yes
Vietnam,VNM,2021,Yes
